	Verne_ArchipelFeu_0	Verne_ArchipelFeu_1	Verne_ArchipelFeu_2	Verne_ArchipelFeu_3	Verne_ArchipelFeu_4	Verne_ArchipelFeu_5	Verne_ArchipelFeu_6	Verne_ArchipelFeu_7	Verne_ArchipelFeu_8	Verne_ArchipelFeu_9	Verne_ArchipelFeu_10	Verne_ArchipelFeu_11	Verne_ArchipelFeu_12	Verne_ArchipelFeu_13	Verne_ArchipelFeu_14	Verne_ArchipelFeu_15	Verne_ArchipelFeu_16	Verne_ArchipelFeu_17	Verne_ArchipelFeu_18	Verne_ArchipelFeu_19	Verne_ArchipelFeu_20	Verne_ArchipelFeu_21	Verne_ArchipelFeu_22	Verne_ArchipelFeu_23	Verne_ArchipelFeu_24	Verne_ArchipelFeu_25	Verne_ArchipelFeu_26	Verne_ArchipelFeu_27	Verne_ArchipelFeu_28	Verne_ArchipelFeu_29	Verne_ArchipelFeu_30	Verne_ArchipelFeu_31	Verne_ArchipelFeu_32	Verne_ArchipelFeu_33	Verne_ArchipelFeu_34	Verne_ArchipelFeu_35	Verne_ArchipelFeu_36	Verne_ArchipelFeu_37	Verne_ArchipelFeu_38	Verne_ArchipelFeu_39	Verne_ArchipelFeu_40	Verne_ArchipelFeu_41	Verne_ArchipelFeu_42	Verne_ArchipelFeu_43	Verne_ArchipelFeu_44	Verne_ArchipelFeu_45	Verne_ArchipelFeu_46	Verne_ArchipelFeu_47	Verne_ArchipelFeu_48	Verne_ArchipelFeu_49	Verne_ArchipelFeu_50	Verne_ArchipelFeu_51	Verne_ArchipelFeu_52	Verne_ArchipelFeu_53	Verne_ArchipelFeu_54	Verne_ArchipelFeu_55	Verne_ArchipelFeu_56	Verne_ArchipelFeu_57	Verne_ArchipelFeu_58	Verne_ArchipelFeu_59	Verne_ArchipelFeu_60	Verne_ArchipelFeu_61	Verne_ArchipelFeu_62	Verne_ArchipelFeu_63	Verne_ArchipelFeu_64	Verne_ArchipelFeu_65	Verne_ArchipelFeu_66	Verne_ArchipelFeu_67	Verne_ArchipelFeu_68	Verne_ArchipelFeu_69	Verne_ArchipelFeu_70	Verne_ArchipelFeu_71	Verne_ArchipelFeu_72	Verne_ArchipelFeu_73	Verne_ArchipelFeu_74	Verne_ArchipelFeu_75	Verne_ArchipelFeu_76	Verne_ArchipelFeu_77	Verne_ArchipelFeu_sum
venait_VER:impf_venir	1.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	2.0	3.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	7.0	4.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	67.0
maison_NOM_maison	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	5.0	1.0	0.0	0.0	3.0	4.0	5.0	2.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	3.0	3.0	1.0	6.0	3.0	5.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0
tout_ADV_tout	0.0	2.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	2.0	2.0	1.0	2.0	0.0	6.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	66.0
temps_NOM_temps	2.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	3.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	2.0	3.0	1.0	2.0	0.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	3.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	65.0
nom_NOM_nom	0.0	2.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	3.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	4.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	4.0	1.0	1.0	5.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	1.0	0.0	0.0	0.0	65.0
archipel_NAM_archipel	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	3.0	0.0	0.0	3.0	3.0	3.0	2.0	2.0	0.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0	0.0	65.0
leurs_DET:POS_leur	1.0	3.0	0.0	1.0	2.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	2.0	1.0	3.0	1.0	1.0	0.0	2.0	1.0	2.0	1.0	1.0	0.0	0.0	4.0	0.0	0.0	1.0	1.0	2.0	3.0	2.0	0.0	2.0	3.0	0.0	0.0	64.0
cela_PRO:DEM_cela	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	3.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	8.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.0	2.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	63.0
entre_PRP_entre	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	2.0	2.0	2.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	2.0	2.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	1.0	0.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	63.0
grèce_NAM_grèce	3.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	4.0	2.0	4.0	0.0	2.0	0.0	0.0	2.0	3.0	0.0	3.0	3.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	63.0
devait_VER:impf_devoir	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	4.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	2.0	1.0	3.0	2.0	2.0	0.0	1.0	0.0	3.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	63.0
skopélo_NAM_skopélo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	10.0	7.0	2.0	2.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	10.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	0.0	0.0	62.0
guerre_NOM_guerre	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	3.0	1.0	3.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	3.0	0.0	2.0	0.0	1.0	2.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	2.0	2.0	3.0	1.0	0.0	1.0	0.0	3.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	62.0
effet_NOM_effet	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	4.0	0.0	1.0	2.0	0.0	0.0	1.0	3.0	1.0	0.0	2.0	1.0	0.0	2.0	0.0	1.0	3.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	62.0
xaris_NAM_xaris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	3.0	1.0	1.0	7.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	4.0	1.0	11.0	1.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	1.0	0.0	62.0
mer_NOM_mer	2.0	4.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	2.0	0.0	1.0	2.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	4.0	0.0	1.0	0.0	2.0	2.0	3.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	61.0
comme_ADV_comme	0.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	5.0	1.0	2.0	0.0	2.0	1.0	0.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	3.0	1.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	61.0
navires_NOM_navire	0.0	2.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	0.0	2.0	2.0	0.0	2.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	5.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	60.0
depuis_PRP_depuis	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	4.0	0.0	1.0	0.0	3.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	3.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	59.0
quelque_PRO:IND_quelque	2.0	1.0	1.0	3.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	5.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0
mille_NUM_mille	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	9.0	8.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	58.0
furent_VER:simp_être	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	1.0	0.0	3.0	2.0	2.0	0.0	0.0	1.0	2.0	2.0	3.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	57.0
pu_VER:pper_pouvoir	0.0	3.0	0.0	0.0	0.0	3.0	2.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	3.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	4.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	56.0
homme_NOM_homme	1.0	0.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	4.0	4.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	56.0
équipage_NOM_équipage	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	3.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	2.0	1.0	0.0	1.0	5.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	1.0	1.0	1.0	4.0	0.0	56.0
père_NOM_père	1.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	3.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	7.0	2.0	5.0	2.0	7.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	55.0
toujours_ADV_toujours	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	3.0	1.0	0.0	3.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	54.0
cependant_ADV_cependant	0.0	0.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	54.0
fit_VER:simp_faire	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	1.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	3.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	3.0	1.0	1.0	0.0	53.0
déjà_ADV_déjà	0.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	2.0	1.0	3.0	0.0	2.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	2.0	2.0	1.0	0.0	52.0
moment_NOM_moment	0.0	2.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	52.0
celui_PRO:DEM_celui	0.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	52.0
très_ADV_très	2.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	3.0	2.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0
si_ADV_si	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	2.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	51.0
dit_VER:pres_dire	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	3.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	4.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	51.0
heures_NOM_heure	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	2.0	3.0	1.0	0.0	3.0	1.0	0.0	0.0	1.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	0.0	1.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	3.0	0.0	50.0
maintenant_ADV_maintenant	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	3.0	1.0	0.0	1.0	1.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	50.0
corfou_NAM_corfou	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	2.0	2.0	3.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	50.0
jamais_ADV_jamais	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	3.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	3.0	1.0	3.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	50.0
